condition,seed,beta,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
drift,43,0.1,0.0011388889147336601,1.0917251463457978,0.0017777777777777779,0.0014362294526384556,0.001429780095706071
drift,43,0.15,0.0012210896741662,1.1662864584764514,0.0017777777777777779,0.001528192544807889,0.0015228120795523186
drift,43,0.2,0.00127855327076112,1.2300429502171497,0.0024444444444444444,0.0015327644333764333,0.001528161392142299
drift,43,0.3,0.00197418854327742,1.9172914374243581,0.0044444444444444444,0.0022637030200856278,0.002260882112506063
drift,44,0.0,0.0010845894189052399,1.035722292613669,0.007555555555555556,0.003114323373224061,0.002977744318394728
drift,44,0.05,0.00143721103336786,1.3966821575957167,0.009777777777777776,0.003451780049782628,0.003291733401567357
drift,44,0.1,0.00156712748434324,1.520511455553823,0.011777777777777778,0.003943505406238861,0.003789284187907983
drift,44,0.15,0.00178913925698534,1.7375267370176666,0.015555555555555557,0.004556725522912567,0.004392498331293555
drift,44,0.2,0.00189828168924712,1.8466482912684339,0.024444444444444446,0.004456183177163162,0.004343022396032409
drift,44,0.3,0.0015629483973081597,1.4917689982575113,0.02288888888888889,0.0043247760189121225,0.004245307774840075
drift,45,0.0,0.0011012216950789,1.0573308860838009,0.004666666666666666,0.0027207457958097446,0.0025832819383445047
drift,45,0.05,0.0016409424306866797,1.5848566651143738,0.0031111111111111114,0.0022917565057515997,0.0022122744268586237
drift,45,0.1,0.00137097751234524,1.3213045817924551,0.002888888888888889,0.0018561086263802777,0.0018302052512225127
drift,45,0.15,0.00137150718571628,1.3222121138051963,0.002888888888888889,0.0018599621447773888,0.0018383964967176789
drift,45,0.2,0.0013554056730994,1.3064469602429516,0.0022222222222222222,0.0017732453816612832,0.0017549984134583184
drift,45,0.3,0.00132177894991828,1.2730519562694682,0.0015555555555555555,0.0017487071174842337,0.0017306723241854807
drift,46,0.0,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,46,0.05,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,46,0.1,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,46,0.15,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,46,0.2,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
